Function,Create,Eval1,Eval2,Gain1,Gain2,SetM,EvalFast,GainFast,Maximize
fl_dense_cpp_kernel,0.06944,2.1e-05,1e-05,1.3e-05,1.1e-05,2.7e-05,9e-06,1e-05,0.002096
fl_dense_py_kernel,0.001016,1.1e-05,1e-05,1.1e-05,1.1e-05,2.5e-05,8e-06,8e-06,0.002001
fl_sparse_cpp_kernel,0.049848,0.000274,0.000131,0.000223,0.000173,0.000211,8e-06,3.6e-05,0.038586
fl_sparse_py_kernel,0.003636,0.000198,0.000112,0.000191,0.000177,0.000206,8e-06,3.5e-05,0.03889
fl_mode_birch,0.240434,6.5e-05,6e-05,2.6e-05,2e-05,5.5e-05,1.9e-05,2.3e-05,0.006808
fl_mode_user,0.139174,5.8e-05,5.5e-05,2.5e-05,1.9e-05,5.1e-05,1.9e-05,2.2e-05,0.006543
fl_clustered_birch_multi,0.291855,2.9e-05,2.6e-05,2.3e-05,1.6e-05,3.2e-05,2.1e-05,2e-05,0.001351
fl_clustered_user_multi,0.139643,2.5e-05,2.3e-05,2.1e-05,1.4e-05,3e-05,1.9e-05,1.8e-05,0.001253
fl_clustered_birch_single,0.323232,1.7e-05,1.5e-05,1.1e-05,8e-06,4.3e-05,1.4e-05,1e-05,0.001224
fl_clustered_user_single,0.100904,2.6e-05,2.3e-05,2.1e-05,1.4e-05,3e-05,1.9e-05,1.9e-05,0.001349
