Num_Samples,Function,Time
50,fl_dense_py_kernel_np_numba_list,0.060274
50,fl_dense_py_kernel_np_numba_numpyarray,0.045501
50,fl_dense_py_kernel_np_numba_array,0.045238
50,fl_dense_py_kernel_np_numba_array32,0.052593
50,fl_dense_py_kernel_np_numba_array64,0.046149
50,apricot_dense,1.174214
100,fl_dense_py_kernel_np_numba_list,0.091419
100,fl_dense_py_kernel_np_numba_numpyarray,0.078728
100,fl_dense_py_kernel_np_numba_array,0.071281
100,fl_dense_py_kernel_np_numba_array32,0.068497
100,fl_dense_py_kernel_np_numba_array64,0.076039
100,apricot_dense,1.201952
200,fl_dense_py_kernel_np_numba_list,0.073907
200,fl_dense_py_kernel_np_numba_numpyarray,0.07264
200,fl_dense_py_kernel_np_numba_array,0.077736
200,fl_dense_py_kernel_np_numba_array32,0.07115
200,fl_dense_py_kernel_np_numba_array64,0.057626
200,apricot_dense,1.207504
500,fl_dense_py_kernel_np_numba_list,0.089093
500,fl_dense_py_kernel_np_numba_numpyarray,0.080988
500,fl_dense_py_kernel_np_numba_array,0.0868
500,fl_dense_py_kernel_np_numba_array32,0.058271
500,fl_dense_py_kernel_np_numba_array64,0.078195
500,apricot_dense,1.226265
1000,fl_dense_py_kernel_np_numba_list,0.185034
1000,fl_dense_py_kernel_np_numba_numpyarray,0.197324
1000,fl_dense_py_kernel_np_numba_array,0.142085
1000,fl_dense_py_kernel_np_numba_array32,0.142273
1000,fl_dense_py_kernel_np_numba_array64,0.112529
1000,apricot_dense,1.283658
5000,fl_dense_py_kernel_np_numba_list,4.152832
5000,fl_dense_py_kernel_np_numba_numpyarray,4.10348
5000,fl_dense_py_kernel_np_numba_array,3.04259
5000,fl_dense_py_kernel_np_numba_array32,3.089238
5000,fl_dense_py_kernel_np_numba_array64,3.059117
5000,apricot_dense,2.310861
6000,fl_dense_py_kernel_np_numba_list,5.832969
6000,fl_dense_py_kernel_np_numba_numpyarray,5.793233
6000,fl_dense_py_kernel_np_numba_array,4.322276
6000,fl_dense_py_kernel_np_numba_array32,4.318245
6000,fl_dense_py_kernel_np_numba_array64,4.332237
6000,apricot_dense,2.729665
7000,fl_dense_py_kernel_np_numba_list,7.838329
7000,fl_dense_py_kernel_np_numba_numpyarray,7.824501
7000,fl_dense_py_kernel_np_numba_array,5.764069
7000,fl_dense_py_kernel_np_numba_array32,5.857088
7000,fl_dense_py_kernel_np_numba_array64,5.721268
7000,apricot_dense,3.165648
8000,fl_dense_py_kernel_np_numba_list,10.162959
8000,fl_dense_py_kernel_np_numba_numpyarray,10.003455
8000,fl_dense_py_kernel_np_numba_array,7.426849
8000,fl_dense_py_kernel_np_numba_array32,7.511941
8000,fl_dense_py_kernel_np_numba_array64,7.479511
8000,apricot_dense,3.637879
9000,fl_dense_py_kernel_np_numba_list,12.97939
9000,fl_dense_py_kernel_np_numba_numpyarray,13.000933
9000,fl_dense_py_kernel_np_numba_array,9.515813
9000,fl_dense_py_kernel_np_numba_array32,9.707737
9000,fl_dense_py_kernel_np_numba_array64,9.559987
9000,apricot_dense,4.231626
10000,fl_dense_py_kernel_np_numba_list,15.772117
10000,fl_dense_py_kernel_np_numba_numpyarray,15.662019
10000,fl_dense_py_kernel_np_numba_array,11.60167
10000,fl_dense_py_kernel_np_numba_array32,11.813221
10000,fl_dense_py_kernel_np_numba_array64,11.61868
10000,apricot_dense,4.815959
