Function,Create,Eval1,Eval2,Gain1,Gain2,SetM,EvalFast,GainFast,Maximize
py_dense_kernel,0.286921,,,,,,,,
cpp_dense_kernel,0.01307,,,,,,,,
py_sparse_kernel,0.032609,,,,,,,,
cpp_sparse_kernel,0.028028,,,,,,,,
fl_dense_cpp_kernel,0.164402,0.000014,0.000008,0.000012,0.000011,0.000021,0.000005,0.000007,0.009293
fl_dense_py_kernel,0.009705,0.000012,0.000007,0.000012,0.000011,0.000021,0.000004,0.000007,0.008833
fl_sparse_cpp_kernel,0.013409,0.000056,0.000033,0.000063,0.000055,0.000072,0.000004,0.000018,0.035083
fl_sparse_py_kernel,0.001052,0.000053,0.000032,0.00006,0.000053,0.000071,0.000004,0.000018,0.034425
fl_mode_birch,0.24932,0.000036,0.000036,0.000008,0.000007,0.000022,0.000006,0.000007,0.009162
fl_mode_user,0.216397,0.000035,0.000035,0.000007,0.000006,0.000019,0.000006,0.000006,0.008813
fl_clustered_birch_multi,0.251103,0.000005,0.000005,0.000004,0.000003,0.000007,0.000004,0.000004,0.001126
fl_clustered_user_multi,0.216195,0.000005,0.000005,0.000004,0.000003,0.000006,0.000003,0.000003,0.001063
fl_clustered_birch_single,0.339381,0.000007,0.000006,0.000004,0.000003,0.000107,0.000006,0.000005,0.005865
fl_clustered_user_single,0.216839,0.000005,0.000006,0.000004,0.000003,0.000006,0.000003,0.000003,0.001061
