50,,,,,,,,,
py_dense_kernel,0.003463,,,,,,,,
cpp_dense_kernel,0.004893,,,,,,,,
py_sparse_kernel,0.001875,,,,,,,,
cpp_sparse_kernel,0.004662,,,,,,,,
,,,,,,,,,
Function,Create,Eval1,Eval2,Gain1,Gain2,SetM,EvalFast,GainFast,Maximize
fl_dense_cpp_kernel,0.005354,0.00001,0.000007,0.000009,0.000008,0.00001,0.000008,0.000008,0.000109
fl_dense_py_kernel,0.000112,0.000007,0.000006,0.000008,0.000007,0.000009,0.000006,0.000007,0.0001
fl_sparse_cpp_kernel,0.004408,0.00002,0.000013,0.000017,0.000015,0.000017,0.000009,0.000011,0.000467
fl_sparse_py_kernel,0.000121,0.000014,0.000012,0.000014,0.000013,0.000015,0.000006,0.000009,0.000394
fl_mode_birch,0.03799,0.000022,0.000018,0.000015,0.000011,0.000017,0.000012,0.000012,0.000326
fl_mode_user,0.019028,0.000022,0.000017,0.000014,0.000013,0.000017,0.000012,0.000012,0.000329
fl_clustered_birch_multi,0.039069,0.000017,0.000013,0.000015,0.00001,0.000015,0.000012,0.000012,0.000105
fl_clustered_user_multi,0.018798,0.000015,0.000012,0.000014,0.00001,0.000014,0.000014,0.000012,0.000103
fl_clustered_birch_single,0.037281,0.000018,0.000012,0.000013,0.000009,0.000021,0.000012,0.000012,0.000143
fl_clustered_user_single,0.018794,0.000014,0.000013,0.000014,0.00001,0.000015,0.000012,0.000012,0.000103
,,,,,,,,,
,,,,,,,,,
100,,,,,,,,,
py_dense_kernel,0.009071,,,,,,,,
cpp_dense_kernel,0.015881,,,,,,,,
py_sparse_kernel,0.00546,,,,,,,,
cpp_sparse_kernel,0.014623,,,,,,,,
,,,,,,,,,
Function,Create,Eval1,Eval2,Gain1,Gain2,SetM,EvalFast,GainFast,Maximize
fl_dense_cpp_kernel,0.016069,0.000014,0.000008,0.000011,0.000009,0.000018,0.000008,0.000008,0.000549
fl_dense_py_kernel,0.000282,0.000008,0.000008,0.000008,0.000008,0.000016,0.000007,0.000007,0.00055
fl_sparse_cpp_kernel,0.014484,0.000084,0.000061,0.000079,0.00007,0.000092,0.000008,0.000018,0.007349
fl_sparse_py_kernel,0.000811,0.000121,0.00008,0.000111,0.000071,0.000087,0.000008,0.000018,0.006947
fl_mode_birch,0.085067,0.000036,0.000032,0.000019,0.000014,0.00003,0.000014,0.000015,0.001658
fl_mode_user,0.043678,0.000035,0.000032,0.000019,0.000014,0.000031,0.000014,0.000015,0.001597
fl_clustered_birch_multi,0.102695,0.000027,0.000024,0.000023,0.000015,0.000032,0.000022,0.000021,0.000562
fl_clustered_user_multi,0.057989,0.000024,0.00002,0.000019,0.000018,0.000034,0.000024,0.000021,0.00058
fl_clustered_birch_single,0.132622,0.000032,0.000029,0.000022,0.000015,0.000087,0.000025,0.00002,0.000882
fl_clustered_user_single,0.058487,0.000026,0.000023,0.000022,0.000015,0.000029,0.00002,0.00002,0.00057
,,,,,,,,,
,,,,,,,,,
200,,,,,,,,,
py_dense_kernel,,,,,,,,,
cpp_dense_kernel,,,,,,,,,
py_sparse_kernel,,,,,,,,,
cpp_sparse_kernel,,,,,,,,,
,,,,,,,,,
Function,Create,Eval1,Eval2,Gain1,Gain2,SetM,EvalFast,GainFast,Maximize
fl_dense_cpp_kernel,0.06944,0.000021,0.00001,0.000013,0.000011,0.000027,0.000009,0.00001,0.002096
fl_dense_py_kernel,0.001016,0.000011,0.00001,0.000011,0.000011,0.000025,0.000008,0.000008,0.002001
fl_sparse_cpp_kernel,0.049848,0.000274,0.000131,0.000223,0.000173,0.000211,0.000008,0.000036,0.038586
fl_sparse_py_kernel,0.003636,0.000198,0.000112,0.000191,0.000177,0.000206,0.000008,0.000035,0.03889
fl_mode_birch,0.240434,0.000065,0.00006,0.000026,0.00002,0.000055,0.000019,0.000023,0.006808
fl_mode_user,0.139174,0.000058,0.000055,0.000025,0.000019,0.000051,0.000019,0.000022,0.006543
fl_clustered_birch_multi,0.291855,0.000029,0.000026,0.000023,0.000016,0.000032,0.000021,0.00002,0.001351
fl_clustered_user_multi,0.139643,0.000025,0.000023,0.000021,0.000014,0.00003,0.000019,0.000018,0.001253
fl_clustered_birch_single,0.323232,0.000017,0.000015,0.000011,0.000008,0.000043,0.000014,0.00001,0.001224
fl_clustered_user_single,0.100904,0.000026,0.000023,0.000021,0.000014,0.00003,0.000019,0.000019,0.001349
